Variable0	Variable	Type
V132	tBodyGyro-max()-Z	max
V133	tBodyGyro-min()-X	min
V134	tBodyGyro-min()-Y	min
V135	tBodyGyro-min()-Z	min
V136	tBodyGyro-sma()	sma
V137	tBodyGyro-energy()-X	energy
V138	tBodyGyro-energy()-Y	energy
V139	tBodyGyro-energy()-Z	energy
V140	tBodyGyro-iqr()-X	iqr
V141	tBodyGyro-iqr()-Y	iqr
V142	tBodyGyro-iqr()-Z	iqr
V143	tBodyGyro-entropy()-X	entropy
V144	tBodyGyro-entropy()-Y	entropy
V145	tBodyGyro-entropy()-Z	entropy
V146	tBodyGyro-arCoeff()-X,1	arCoeff
V147	tBodyGyro-arCoeff()-X,2	arCoeff
V148	tBodyGyro-arCoeff()-X,3	arCoeff
V149	tBodyGyro-arCoeff()-X,4	arCoeff
V150	tBodyGyro-arCoeff()-Y,1	arCoeff
V151	tBodyGyro-arCoeff()-Y,2	arCoeff
V152	tBodyGyro-arCoeff()-Y,3	arCoeff
V153	tBodyGyro-arCoeff()-Y,4	arCoeff
V154	tBodyGyro-arCoeff()-Z,1	arCoeff
V155	tBodyGyro-arCoeff()-Z,2	arCoeff
V156	tBodyGyro-arCoeff()-Z,3	arCoeff
V157	tBodyGyro-arCoeff()-Z,4	arCoeff
V158	tBodyGyro-correlation()-X,Y	correlation
V159	tBodyGyro-correlation()-X,Z	correlation
V160	tBodyGyro-correlation()-Y,Z	correlation
V161	tBodyGyroJerk-mean()-X	mean
V162	tBodyGyroJerk-mean()-Y	mean
V163	tBodyGyroJerk-mean()-Z	mean
V164	tBodyGyroJerk-std()-X	std
V165	tBodyGyroJerk-std()-Y	std
V166	tBodyGyroJerk-std()-Z	std
V167	tBodyGyroJerk-mad()-X	mad
V168	tBodyGyroJerk-mad()-Y	mad
V169	tBodyGyroJerk-mad()-Z	mad
V170	tBodyGyroJerk-max()-X	max
V171	tBodyGyroJerk-max()-Y	max
V172	tBodyGyroJerk-max()-Z	max
V173	tBodyGyroJerk-min()-X	min
V174	tBodyGyroJerk-min()-Y	min
V175	tBodyGyroJerk-min()-Z	min
V176	tBodyGyroJerk-sma()	sma
V177	tBodyGyroJerk-energy()-X	energy
V178	tBodyGyroJerk-energy()-Y	energy
V179	tBodyGyroJerk-energy()-Z	energy
V180	tBodyGyroJerk-iqr()-X	iqr
V181	tBodyGyroJerk-iqr()-Y	iqr
V182	tBodyGyroJerk-iqr()-Z	iqr
V183	tBodyGyroJerk-entropy()-X	entropy
V184	tBodyGyroJerk-entropy()-Y	entropy
V185	tBodyGyroJerk-entropy()-Z	entropy
V186	tBodyGyroJerk-arCoeff()-X,1	arCoeff
V187	tBodyGyroJerk-arCoeff()-X,2	arCoeff
V188	tBodyGyroJerk-arCoeff()-X,3	arCoeff
V189	tBodyGyroJerk-arCoeff()-X,4	arCoeff
V190	tBodyGyroJerk-arCoeff()-Y,1	arCoeff
V191	tBodyGyroJerk-arCoeff()-Y,2	arCoeff
V192	tBodyGyroJerk-arCoeff()-Y,3	arCoeff
V193	tBodyGyroJerk-arCoeff()-Y,4	arCoeff
V194	tBodyGyroJerk-arCoeff()-Z,1	arCoeff
V195	tBodyGyroJerk-arCoeff()-Z,2	arCoeff
V196	tBodyGyroJerk-arCoeff()-Z,3	arCoeff
V197	tBodyGyroJerk-arCoeff()-Z,4	arCoeff
V198	tBodyGyroJerk-correlation()-X,Y	correlation
V199	tBodyGyroJerk-correlation()-X,Z	correlation
V200	tBodyGyroJerk-correlation()-Y,Z	correlation
V201	tBodyAccMag-mean()	mean
V202	tBodyAccMag-std()	std
V203	tBodyAccMag-mad()	mad
V204	tBodyAccMag-max()	max
V205	tBodyAccMag-min()	min
V206	tBodyAccMag-sma()	sma
V207	tBodyAccMag-energy()	energy
V208	tBodyAccMag-iqr()	iqr
V209	tBodyAccMag-entropy()	entropy
V210	tBodyAccMag-arCoeff()1	arCoeff
V211	tBodyAccMag-arCoeff()2	arCoeff
V212	tBodyAccMag-arCoeff()3	arCoeff
V213	tBodyAccMag-arCoeff()4	arCoeff
V214	tGravityAccMag-mean()	mean
V215	tGravityAccMag-std()	std
V216	tGravityAccMag-mad()	mad
V217	tGravityAccMag-max()	max
V218	tGravityAccMag-min()	min
V219	tGravityAccMag-sma()	sma
V220	tGravityAccMag-energy()	energy
V221	tGravityAccMag-iqr()	iqr
V222	tGravityAccMag-entropy()	entropy
V223	tGravityAccMag-arCoeff()1	arCoeff
V224	tGravityAccMag-arCoeff()2	arCoeff
V225	tGravityAccMag-arCoeff()3	arCoeff
V226	tGravityAccMag-arCoeff()4	arCoeff
V227	tBodyAccJerkMag-mean()	mean
V228	tBodyAccJerkMag-std()	std
V229	tBodyAccJerkMag-mad()	mad
V230	tBodyAccJerkMag-max()	max
V231	tBodyAccJerkMag-min()	min
V232	tBodyAccJerkMag-sma()	sma
V233	tBodyAccJerkMag-energy()	energy
V234	tBodyAccJerkMag-iqr()	iqr
V235	tBodyAccJerkMag-entropy()	entropy
V236	tBodyAccJerkMag-arCoeff()1	arCoeff
V237	tBodyAccJerkMag-arCoeff()2	arCoeff
V238	tBodyAccJerkMag-arCoeff()3	arCoeff
V239	tBodyAccJerkMag-arCoeff()4	arCoeff
V240	tBodyGyroMag-mean()	mean
V241	tBodyGyroMag-std()	std
V242	tBodyGyroMag-mad()	mad
V243	tBodyGyroMag-max()	max
V244	tBodyGyroMag-min()	min
V245	tBodyGyroMag-sma()	sma
V246	tBodyGyroMag-energy()	energy
V247	tBodyGyroMag-iqr()	iqr
V248	tBodyGyroMag-entropy()	entropy
V249	tBodyGyroMag-arCoeff()1	arCoeff
V250	tBodyGyroMag-arCoeff()2	arCoeff
V251	tBodyGyroMag-arCoeff()3	arCoeff
V252	tBodyGyroMag-arCoeff()4	arCoeff
V253	tBodyGyroJerkMag-mean()	mean
V254	tBodyGyroJerkMag-std()	std
V255	tBodyGyroJerkMag-mad()	mad
V256	tBodyGyroJerkMag-max()	max
V257	tBodyGyroJerkMag-min()	min
V258	tBodyGyroJerkMag-sma()	sma
V259	tBodyGyroJerkMag-energy()	energy
V260	tBodyGyroJerkMag-iqr()	iqr
V261	tBodyGyroJerkMag-entropy()	entropy
V262	tBodyGyroJerkMag-arCoeff()1	arCoeff
V263	tBodyGyroJerkMag-arCoeff()2	arCoeff
V264	tBodyGyroJerkMag-arCoeff()3	arCoeff
V265	tBodyGyroJerkMag-arCoeff()4	arCoeff
V266	fBodyAcc-mean()-X	mean
V267	fBodyAcc-mean()-Y	mean
V268	fBodyAcc-mean()-Z	mean
V269	fBodyAcc-std()-X	std
V270	fBodyAcc-std()-Y	std
V271	fBodyAcc-std()-Z	std
V272	fBodyAcc-mad()-X	mad
V273	fBodyAcc-mad()-Y	mad
V274	fBodyAcc-mad()-Z	mad
V275	fBodyAcc-max()-X	max
V276	fBodyAcc-max()-Y	max
V277	fBodyAcc-max()-Z	max
V278	fBodyAcc-min()-X	min
V279	fBodyAcc-min()-Y	min
V280	fBodyAcc-min()-Z	min
V281	fBodyAcc-sma()	sma
V282	fBodyAcc-energy()-X	energy
V283	fBodyAcc-energy()-Y	energy
V284	fBodyAcc-energy()-Z	energy
V285	fBodyAcc-iqr()-X	iqr
V286	fBodyAcc-iqr()-Y	iqr
V287	fBodyAcc-iqr()-Z	iqr
V288	fBodyAcc-entropy()-X	entropy
V289	fBodyAcc-entropy()-Y	entropy
V290	fBodyAcc-entropy()-Z	entropy
V291	fBodyAcc-maxInds-X	maxInds
V292	fBodyAcc-maxInds-Y	maxInds
V293	fBodyAcc-maxInds-Z	maxInds
V294	fBodyAcc-meanFreq()-X	meanFreq
V295	fBodyAcc-meanFreq()-Y	meanFreq
V296	fBodyAcc-meanFreq()-Z	meanFreq
V297	fBodyAcc-skewness()-X	skewness
V298	fBodyAcc-kurtosis()-X	kurtosis
V299	fBodyAcc-skewness()-Y	skewness
V300	fBodyAcc-kurtosis()-Y	kurtosis
V301	fBodyAcc-skewness()-Z	skewness
V302	fBodyAcc-kurtosis()-Z	kurtosis
V303	fBodyAcc-bandsEnergy()-1,8	bandsEnergy
V304	fBodyAcc-bandsEnergy()-9,16	bandsEnergy
V305	fBodyAcc-bandsEnergy()-17,24	bandsEnergy
V306	fBodyAcc-bandsEnergy()-25,32	bandsEnergy
V307	fBodyAcc-bandsEnergy()-33,40	bandsEnergy
V308	fBodyAcc-bandsEnergy()-41,48	bandsEnergy
V309	fBodyAcc-bandsEnergy()-49,56	bandsEnergy
V310	fBodyAcc-bandsEnergy()-57,64	bandsEnergy
V311	fBodyAcc-bandsEnergy()-1,16	bandsEnergy
V312	fBodyAcc-bandsEnergy()-17,32	bandsEnergy
V313	fBodyAcc-bandsEnergy()-33,48	bandsEnergy
V314	fBodyAcc-bandsEnergy()-49,64	bandsEnergy
V315	fBodyAcc-bandsEnergy()-1,24	bandsEnergy
V316	fBodyAcc-bandsEnergy()-25,48	bandsEnergy
V317	fBodyAcc-bandsEnergy()-1,8	bandsEnergy
V318	fBodyAcc-bandsEnergy()-9,16	bandsEnergy
V319	fBodyAcc-bandsEnergy()-17,24	bandsEnergy
V320	fBodyAcc-bandsEnergy()-25,32	bandsEnergy
V321	fBodyAcc-bandsEnergy()-33,40	bandsEnergy
V322	fBodyAcc-bandsEnergy()-41,48	bandsEnergy
V323	fBodyAcc-bandsEnergy()-49,56	bandsEnergy
V324	fBodyAcc-bandsEnergy()-57,64	bandsEnergy
V325	fBodyAcc-bandsEnergy()-1,16	bandsEnergy
V326	fBodyAcc-bandsEnergy()-17,32	bandsEnergy
V327	fBodyAcc-bandsEnergy()-33,48	bandsEnergy
V328	fBodyAcc-bandsEnergy()-49,64	bandsEnergy
V329	fBodyAcc-bandsEnergy()-1,24	bandsEnergy
V330	fBodyAcc-bandsEnergy()-25,48	bandsEnergy
V331	fBodyAcc-bandsEnergy()-1,8	bandsEnergy
V332	fBodyAcc-bandsEnergy()-9,16	bandsEnergy
V333	fBodyAcc-bandsEnergy()-17,24	bandsEnergy
V334	fBodyAcc-bandsEnergy()-25,32	bandsEnergy
V335	fBodyAcc-bandsEnergy()-33,40	bandsEnergy
V336	fBodyAcc-bandsEnergy()-41,48	bandsEnergy
V337	fBodyAcc-bandsEnergy()-49,56	bandsEnergy
V338	fBodyAcc-bandsEnergy()-57,64	bandsEnergy
V339	fBodyAcc-bandsEnergy()-1,16	bandsEnergy
V340	fBodyAcc-bandsEnergy()-17,32	bandsEnergy
V341	fBodyAcc-bandsEnergy()-33,48	bandsEnergy
V342	fBodyAcc-bandsEnergy()-49,64	bandsEnergy
V343	fBodyAcc-bandsEnergy()-1,24	bandsEnergy
V344	fBodyAcc-bandsEnergy()-25,48	bandsEnergy
V345	fBodyAccJerk-mean()-X	mean
V346	fBodyAccJerk-mean()-Y	mean
V347	fBodyAccJerk-mean()-Z	mean
V348	fBodyAccJerk-std()-X	std
V349	fBodyAccJerk-std()-Y	std
V350	fBodyAccJerk-std()-Z	std
V351	fBodyAccJerk-mad()-X	mad
V352	fBodyAccJerk-mad()-Y	mad
V353	fBodyAccJerk-mad()-Z	mad
V354	fBodyAccJerk-max()-X	max
V355	fBodyAccJerk-max()-Y	max
V356	fBodyAccJerk-max()-Z	max
V357	fBodyAccJerk-min()-X	min
V358	fBodyAccJerk-min()-Y	min
V359	fBodyAccJerk-min()-Z	min
V360	fBodyAccJerk-sma()	sma
V361	fBodyAccJerk-energy()-X	bandsEnergy
V362	fBodyAccJerk-energy()-Y	bandsEnergy
V363	fBodyAccJerk-energy()-Z	bandsEnergy
V364	fBodyAccJerk-iqr()-X	iqr
V365	fBodyAccJerk-iqr()-Y	iqr
V366	fBodyAccJerk-iqr()-Z	iqr
V367	fBodyAccJerk-entropy()-X	entropy
V368	fBodyAccJerk-entropy()-Y	entropy
V369	fBodyAccJerk-entropy()-Z	entropy
V370	fBodyAccJerk-maxInds-X	maxInds
V371	fBodyAccJerk-maxInds-Y	maxInds
V372	fBodyAccJerk-maxInds-Z	maxInds
V373	fBodyAccJerk-meanFreq()-X	meanFreq
V374	fBodyAccJerk-meanFreq()-Y	meanFreq
V375	fBodyAccJerk-meanFreq()-Z	meanFreq
V376	fBodyAccJerk-skewness()-X	skewness
V377	fBodyAccJerk-kurtosis()-X	kurtosis
V378	fBodyAccJerk-skewness()-Y	skewness
V379	fBodyAccJerk-kurtosis()-Y	kurtosis
V380	fBodyAccJerk-skewness()-Z	skewness
V381	fBodyAccJerk-kurtosis()-Z	kurtosis
V382	fBodyAccJerk-bandsEnergy()-1,8	bandsEnergy
V383	fBodyAccJerk-bandsEnergy()-9,16	bandsEnergy
V384	fBodyAccJerk-bandsEnergy()-17,24	bandsEnergy
V385	fBodyAccJerk-bandsEnergy()-25,32	bandsEnergy
V386	fBodyAccJerk-bandsEnergy()-33,40	bandsEnergy
V387	fBodyAccJerk-bandsEnergy()-41,48	bandsEnergy
V388	fBodyAccJerk-bandsEnergy()-49,56	bandsEnergy
V389	fBodyAccJerk-bandsEnergy()-57,64	bandsEnergy
V390	fBodyAccJerk-bandsEnergy()-1,16	bandsEnergy
V391	fBodyAccJerk-bandsEnergy()-17,32	bandsEnergy
V392	fBodyAccJerk-bandsEnergy()-33,48	bandsEnergy
V393	fBodyAccJerk-bandsEnergy()-49,64	bandsEnergy
V394	fBodyAccJerk-bandsEnergy()-1,24	bandsEnergy
V395	fBodyAccJerk-bandsEnergy()-25,48	bandsEnergy
V396	fBodyAccJerk-bandsEnergy()-1,8	bandsEnergy
V397	fBodyAccJerk-bandsEnergy()-9,16	bandsEnergy
V398	fBodyAccJerk-bandsEnergy()-17,24	bandsEnergy
V399	fBodyAccJerk-bandsEnergy()-25,32	bandsEnergy
V400	fBodyAccJerk-bandsEnergy()-33,40	bandsEnergy
V401	fBodyAccJerk-bandsEnergy()-41,48	bandsEnergy
V402	fBodyAccJerk-bandsEnergy()-49,56	bandsEnergy
V403	fBodyAccJerk-bandsEnergy()-57,64	bandsEnergy
V404	fBodyAccJerk-bandsEnergy()-1,16	bandsEnergy
V405	fBodyAccJerk-bandsEnergy()-17,32	bandsEnergy
V406	fBodyAccJerk-bandsEnergy()-33,48	bandsEnergy
V407	fBodyAccJerk-bandsEnergy()-49,64	bandsEnergy
V408	fBodyAccJerk-bandsEnergy()-1,24	bandsEnergy
V409	fBodyAccJerk-bandsEnergy()-25,48	bandsEnergy
V410	fBodyAccJerk-bandsEnergy()-1,8	bandsEnergy
V411	fBodyAccJerk-bandsEnergy()-9,16	bandsEnergy
V412	fBodyAccJerk-bandsEnergy()-17,24	bandsEnergy
V413	fBodyAccJerk-bandsEnergy()-25,32	bandsEnergy
V414	fBodyAccJerk-bandsEnergy()-33,40	bandsEnergy
V415	fBodyAccJerk-bandsEnergy()-41,48	bandsEnergy
V416	fBodyAccJerk-bandsEnergy()-49,56	bandsEnergy
V417	fBodyAccJerk-bandsEnergy()-57,64	bandsEnergy
V418	fBodyAccJerk-bandsEnergy()-1,16	bandsEnergy
V419	fBodyAccJerk-bandsEnergy()-17,32	bandsEnergy
V420	fBodyAccJerk-bandsEnergy()-33,48	bandsEnergy
V421	fBodyAccJerk-bandsEnergy()-49,64	bandsEnergy
V422	fBodyAccJerk-bandsEnergy()-1,24	bandsEnergy
V423	fBodyAccJerk-bandsEnergy()-25,48	bandsEnergy
V424	fBodyGyro-mean()-X	mean
V425	fBodyGyro-mean()-Y	mean
V426	fBodyGyro-mean()-Z	mean
V427	fBodyGyro-std()-X	std
V428	fBodyGyro-std()-Y	std
V429	fBodyGyro-std()-Z	std
V430	fBodyGyro-mad()-X	mad
V431	fBodyGyro-mad()-Y	mad
V432	fBodyGyro-mad()-Z	mad
V433	fBodyGyro-max()-X	max
V434	fBodyGyro-max()-Y	max
V435	fBodyGyro-max()-Z	max
V436	fBodyGyro-min()-X	min
V437	fBodyGyro-min()-Y	min
V438	fBodyGyro-min()-Z	min
V439	fBodyGyro-sma()	sma
V440	fBodyGyro-energy()-X	energy
V441	fBodyGyro-energy()-Y	energy
V442	fBodyGyro-energy()-Z	energy
V443	fBodyGyro-iqr()-X	iqr
V444	fBodyGyro-iqr()-Y	iqr
V445	fBodyGyro-iqr()-Z	iqr
V446	fBodyGyro-entropy()-X	entropy
V447	fBodyGyro-entropy()-Y	entropy
V448	fBodyGyro-entropy()-Z	entropy
V449	fBodyGyro-maxInds-X	maxInds
V450	fBodyGyro-maxInds-Y	maxInds
V451	fBodyGyro-maxInds-Z	maxInds
V452	fBodyGyro-meanFreq()-X	meanFreq
V453	fBodyGyro-meanFreq()-Y	meanFreq
V454	fBodyGyro-meanFreq()-Z	meanFreq
V455	fBodyGyro-skewness()-X	skewness
V456	fBodyGyro-kurtosis()-X	kurtosis
V457	fBodyGyro-skewness()-Y	skewness
V458	fBodyGyro-kurtosis()-Y	kurtosis
V459	fBodyGyro-skewness()-Z	skewness
V460	fBodyGyro-kurtosis()-Z	kurtosis
V461	fBodyGyro-bandsEnergy()-1,8	bandsEnergy
V462	fBodyGyro-bandsEnergy()-9,16	bandsEnergy
V463	fBodyGyro-bandsEnergy()-17,24	bandsEnergy
V464	fBodyGyro-bandsEnergy()-25,32	bandsEnergy
V465	fBodyGyro-bandsEnergy()-33,40	bandsEnergy
V466	fBodyGyro-bandsEnergy()-41,48	bandsEnergy
V467	fBodyGyro-bandsEnergy()-49,56	bandsEnergy
V468	fBodyGyro-bandsEnergy()-57,64	bandsEnergy
V469	fBodyGyro-bandsEnergy()-1,16	bandsEnergy
V470	fBodyGyro-bandsEnergy()-17,32	bandsEnergy
V471	fBodyGyro-bandsEnergy()-33,48	bandsEnergy
V472	fBodyGyro-bandsEnergy()-49,64	bandsEnergy
V473	fBodyGyro-bandsEnergy()-1,24	bandsEnergy
V474	fBodyGyro-bandsEnergy()-25,48	bandsEnergy
V475	fBodyGyro-bandsEnergy()-1,8	bandsEnergy
V476	fBodyGyro-bandsEnergy()-9,16	bandsEnergy
V477	fBodyGyro-bandsEnergy()-17,24	bandsEnergy
V478	fBodyGyro-bandsEnergy()-25,32	bandsEnergy
V479	fBodyGyro-bandsEnergy()-33,40	bandsEnergy
V480	fBodyGyro-bandsEnergy()-41,48	bandsEnergy
V481	fBodyGyro-bandsEnergy()-49,56	bandsEnergy
V482	fBodyGyro-bandsEnergy()-57,64	bandsEnergy
V483	fBodyGyro-bandsEnergy()-1,16	bandsEnergy
V484	fBodyGyro-bandsEnergy()-17,32	bandsEnergy
V485	fBodyGyro-bandsEnergy()-33,48	bandsEnergy
V486	fBodyGyro-bandsEnergy()-49,64	bandsEnergy
V487	fBodyGyro-bandsEnergy()-1,24	bandsEnergy
V488	fBodyGyro-bandsEnergy()-25,48	bandsEnergy
V489	fBodyGyro-bandsEnergy()-1,8	bandsEnergy
V490	fBodyGyro-bandsEnergy()-9,16	bandsEnergy
V491	fBodyGyro-bandsEnergy()-17,24	bandsEnergy
V492	fBodyGyro-bandsEnergy()-25,32	bandsEnergy
V493	fBodyGyro-bandsEnergy()-33,40	bandsEnergy
V494	fBodyGyro-bandsEnergy()-41,48	bandsEnergy
V495	fBodyGyro-bandsEnergy()-49,56	bandsEnergy
V496	fBodyGyro-bandsEnergy()-57,64	bandsEnergy
V497	fBodyGyro-bandsEnergy()-1,16	bandsEnergy
V498	fBodyGyro-bandsEnergy()-17,32	bandsEnergy
V499	fBodyGyro-bandsEnergy()-33,48	bandsEnergy
V500	fBodyGyro-bandsEnergy()-49,64	bandsEnergy
V501	fBodyGyro-bandsEnergy()-1,24	bandsEnergy
V502	fBodyGyro-bandsEnergy()-25,48	bandsEnergy
V503	fBodyAccMag-mean()	mean
V504	fBodyAccMag-std()	std
V505	fBodyAccMag-mad()	mad
V506	fBodyAccMag-max()	max
V507	fBodyAccMag-min()	min
V508	fBodyAccMag-sma()	sma
V509	fBodyAccMag-energy()	energy
V510	fBodyAccMag-iqr()	iqr
V511	fBodyAccMag-entropy()	entropy
V512	fBodyAccMag-maxInds	maxInds
V513	fBodyAccMag-meanFreq()	meanFreq
V514	fBodyAccMag-skewness()	skewness
V515	fBodyAccMag-kurtosis()	kurtosis
V516	fBodyBodyAccJerkMag-mean()	mean
V517	fBodyBodyAccJerkMag-std()	std
V518	fBodyBodyAccJerkMag-mad()	mad
V519	fBodyBodyAccJerkMag-max()	max
V520	fBodyBodyAccJerkMag-min()	min
V521	fBodyBodyAccJerkMag-sma()	sma
V522	fBodyBodyAccJerkMag-energy()	energy
V523	fBodyBodyAccJerkMag-iqr()	iqr
V524	fBodyBodyAccJerkMag-entropy()	entropy
V525	fBodyBodyAccJerkMag-maxInds	maxInds
V526	fBodyBodyAccJerkMag-meanFreq()	meanFreq
V527	fBodyBodyAccJerkMag-skewness()	skewness
V528	fBodyBodyAccJerkMag-kurtosis()	kurtosis
V529	fBodyBodyGyroMag-mean()	mean
V530	fBodyBodyGyroMag-std()	std
V531	fBodyBodyGyroMag-mad()	mad
V532	fBodyBodyGyroMag-max()	max
V533	fBodyBodyGyroMag-min()	min
V534	fBodyBodyGyroMag-sma()	sma
V535	fBodyBodyGyroMag-energy()	energy
V536	fBodyBodyGyroMag-iqr()	iqr
V537	fBodyBodyGyroMag-entropy()	entropy
V538	fBodyBodyGyroMag-maxInds	maxInds
V539	fBodyBodyGyroMag-meanFreq()	meanFreq
V540	fBodyBodyGyroMag-skewness()	skewness
V541	fBodyBodyGyroMag-kurtosis()	kurtosis
V542	fBodyBodyGyroJerkMag-mean()	mean
V543	fBodyBodyGyroJerkMag-std()	std
V544	fBodyBodyGyroJerkMag-mad()	mad
V545	fBodyBodyGyroJerkMag-max()	max
V546	fBodyBodyGyroJerkMag-min()	min
